trait,rank,gene_index,gene_id,gene_name,chromosome,start,end,n_snps,attention_mean,attention_sd,seed_ranks,rank_sd,trait_short,gene_label
CULT_CODE_REPRO,1,480,gene:Os01g0163450,gene:Os01g0163450,1,3291241,3293494,4,0.00191683473531156,2.8721894842052e-4,121,0.5773502691896257,CULT,Os01g0163450
CULT_CODE_REPRO,2,894,gene:Os01g0222900,gene:Os01g0222900,1,6715521,6716305,7,0.00183368579018861,3.0925904932357e-4,332,0.5773502691896258,CULT,Os01g0222900
CULT_CODE_REPRO,3,893,gene:Os01g0222800,gene:Os01g0222800,1,6713909,6714986,7,0.00162838822385917,2.0191486557393e-4,453,1,CULT,Os01g0222800
CULT_CODE_REPRO,4,1050,gene:Os01g0243600,gene:Os01g0243600,1,7926858,7927564,2,0.00157779521153618,2.2298664015144e-4,249,3.605551275463989,CULT,Os01g0243600
CULT_CODE_REPRO,5,471,gene:Os01g0161000,gene:Os01g0161000,1,3201220,3204252,1,0.001575235160999,8.2970548276628e-4,22314,127.31457104353768,CULT,Os01g0161000
CULT_CODE_REPRO,6,224,gene:Os01g0128300,MHZ4,1,1569644,1570940,5,0.00153956290644903,2.0867269721198e-4,795,2,CULT,MHZ4
CULT_CODE_REPRO,7,1837,gene:Os01g0520600,gene:Os01g0520600,1,18531902,18540738,7,0.0014346189952145,5.511959498865071e-5,6176,6.3508529610858835,CULT,Os01g0520600
CULT_CODE_REPRO,8,1695,gene:Os01g0382900,gene:Os01g0382900,1,15992759,15996844,2,0.00125657964963465,3.2809042770639e-4,91170,34.655446902326915,CULT,Os01g0382900
CULT_CODE_REPRO,9,152,gene:Os01g0117650,gene:Os01g0117650,1,994955,997150,5,0.0012541467246289,1.3607837003463e-4,13448,19.5021366350801,CULT,Os01g0117650
CULT_CODE_REPRO,10,151,gene:Os01g0117600,gene:Os01g0117600,1,994712,997262,5,0.00124997940535346,1.3108971965649e-4,144210,17.435595774162696,CULT,Os01g0117600
CULT_CODE_REPRO,11,1158,gene:Os01g0262500,gene:Os01g0262500,1,8883493,8885388,2,0.00124715557709957,3.2917006310028e-4,51592,47.60602202803059,CULT,Os01g0262500
CULT_CODE_REPRO,12,1691,gene:Os01g0382400,OsPR1#012,1,15958748,15959497,2,0.00124499316249663,3.5517376811942e-4,111074,36.665151483845435,CULT,OsPR1#012
CUNO_CODE_REPRO,1,471,gene:Os01g0161000,gene:Os01g0161000,1,3201220,3204252,1,0.00195332672835017,0.00129826503507829,8311,47.34272207354931,CUNO,Os01g0161000
CUNO_CODE_REPRO,2,953,gene:Os01g0229800,gene:Os01g0229800,1,7186356,7186820,1,0.00123660066553081,6.392143596929e-4,106332,53.39475629684998,CUNO,Os01g0229800
CUNO_CODE_REPRO,3,2020,gene:Os01g0564950,gene:Os01g0564950,1,21603411,21604622,1,0.00122390964922184,4.5316170148115e-4,11635,31.89566323708183,CUNO,Os01g0564950
CUNO_CODE_REPRO,4,710,gene:Os01g0195700,OsbHLH027,1,5148879,5149201,2,0.00122199005757768,6.2192477049565e-4,64138,366.91461313680776,CUNO,OsbHLH027
CUNO_CODE_REPRO,5,1050,gene:Os01g0243600,gene:Os01g0243600,1,7926858,7927564,2,0.00121616145285467,6.1808957789785e-4,351230,193.91836770490136,CUNO,Os01g0243600
CUNO_CODE_REPRO,6,1143,gene:Os01g0259900,SAD1L,1,8718704,8720961,2,0.00119739377017443,5.2650575419985e-4,90226,44.60194315647395,CUNO,SAD1L
CUNO_CODE_REPRO,7,2018,gene:Os01g0563700,gene:Os01g0563700,1,21444283,21449074,1,0.00118983243980134,5.3153505224897e-4,52543,28.88482877451991,CUNO,Os01g0563700
CUNO_CODE_REPRO,8,2019,gene:Os01g0563500,gene:Os01g0563500,1,21447489,21450077,1,0.00118830809757734,5.2190613084921e-4,49514,26.57693235370353,CUNO,Os01g0563500
CUNO_CODE_REPRO,9,894,gene:Os01g0222900,gene:Os01g0222900,1,6715521,6716305,7,0.00117670830028752,5.6678069036549e-4,531413,301.699077448595,CUNO,Os01g0222900
CUNO_CODE_REPRO,10,1517,gene:Os01g0336300,gene:Os01g0336300,1,13170797,13171929,3,0.00115986628225073,4.3955085873004e-4,36787,35.697805721547276,CUNO,Os01g0336300
CUNO_CODE_REPRO,11,1693,gene:Os01g0382500,gene:Os01g0382500,1,15966105,15967644,2,0.00115247767341012,3.8630155965805e-4,66734,29.53528962670475,CUNO,Os01g0382500
CUNO_CODE_REPRO,12,1924,gene:Os01g0543600,gene:Os01g0543600,1,20124194,20126848,3,0.00114919406284267,3.9535699482271e-4,572111,24.193663082165408,CUNO,Os01g0543600
CUST_REPRO,1,471,gene:Os01g0161000,gene:Os01g0161000,1,3201220,3204252,1,0.00169535039458423,4.3268310618949e-4,116,2.886751345948129,CUST,Os01g0161000
CUST_REPRO,2,480,gene:Os01g0163450,gene:Os01g0163450,1,3291241,3293494,4,0.00162495820162196,5.6951418341617e-4,2291,15.885003409925142,CUST,Os01g0163450
CUST_REPRO,3,1050,gene:Os01g0243600,gene:Os01g0243600,1,7926858,7927564,2,0.00160794499485443,5.1306646870992e-4,3153,6.928203230275509,CUST,Os01g0243600
CUST_REPRO,4,894,gene:Os01g0222900,gene:Os01g0222900,1,6715521,6716305,7,0.00153881226045389,4.2191535148098e-4,7192,8.736894948054104,CUST,Os01g0222900
CUST_REPRO,5,893,gene:Os01g0222800,gene:Os01g0222800,1,6713909,6714986,7,0.00146155226199577,3.9134846187204e-4,8284,12.858201014657274,CUST,Os01g0222800
CUST_REPRO,6,1158,gene:Os01g0262500,gene:Os01g0262500,1,8883493,8885388,2,0.00145478108121703,5.5944760340797e-4,41314,5.507570547286102,CUST,Os01g0262500
CUST_REPRO,7,1691,gene:Os01g0382400,OsPR1#012,1,15958748,15959497,2,0.00141070309715966,4.8502942494847e-4,51215,5.131601439446884,CUST,OsPR1#012
CUST_REPRO,8,1695,gene:Os01g0382900,gene:Os01g0382900,1,15992759,15996844,2,0.00140645467521001,4.736795095763e-4,6208,7.571877794400365,CUST,Os01g0382900
CUST_REPRO,9,1304,gene:Os01g0284900,OSJNBa0004B13.24,1,10200477,10203472,2,0.00127799649878094,4.0425752148325e-4,9539,25.40341184434353,CUST,OSJNBa0004B13.24
CUST_REPRO,10,1837,gene:Os01g0520600,gene:Os01g0520600,1,18531902,18540738,7,0.00126505258958786,4.1910795213554e-4,10797,40.7308237088326,CUST,Os01g0520600
CUST_REPRO,11,224,gene:Os01g0128300,MHZ4,1,1569644,1570940,5,0.00124468347833802,3.6418166288259e-4,18755,37.233497463082,CUST,MHZ4
CUST_REPRO,12,1143,gene:Os01g0259900,SAD1L,1,8718704,8720961,2,0.00123932212591171,2.6482182330637e-4,151820,2.5166114784235836,CUST,SAD1L
LLT_CODE,1,471,gene:Os01g0161000,gene:Os01g0161000,1,3201220,3204252,1,0.00188381622623031,0.00145563973248087,4833,25.98076211353316,LLT,Os01g0161000
LLT_CODE,2,747,gene:Os01g0201100,gene:Os01g0201100,1,5507567,5509494,2,0.00177071660679454,0.00241199421701045,126919331,981.6095625722752,LLT,Os01g0201100
LLT_CODE,3,724,gene:Os01g0197700,Gn1a,1,5270449,5275585,2,0.00166829526036356,0.00223682034072893,110620192,1010.0061055921065,LLT,Gn1a
LLT_CODE,4,710,gene:Os01g0195700,OsbHLH027,1,5148879,5149201,2,0.00157353549730032,0.00155644135710606,2771014,138.39195545021155,LLT,OsbHLH027
LLT_CODE,5,2020,gene:Os01g0564950,gene:Os01g0564950,1,21603411,21604622,1,0.00140980549622327,5.9663903615782e-4,43217,14.0118997046558,LLT,Os01g0564950
LLT_CODE,6,1143,gene:Os01g0259900,SAD1L,1,8718704,8720961,2,0.00130771628270546,5.9811770183064e-4,403711,15.947831618540915,LLT,SAD1L
LLT_CODE,7,1517,gene:Os01g0336300,gene:Os01g0336300,1,13170797,13171929,3,0.00130097364308312,5.4671077281539e-4,273518,8.504900548115383,LLT,Os01g0336300
LLT_CODE,8,207,gene:Os01g0126401,gene:Os01g0126401,1,1445541,1449450,2,0.00129544189743076,0.00118414315331099,3871915,191.02181376307087,LLT,Os01g0126401
LLT_CODE,9,208,gene:Os01g0126600,OsFDML2,1,1446849,1450473,2,0.00128849778169145,0.00116260178759409,3811606,188.49491593497513,LLT,OsFDML2
LLT_CODE,10,894,gene:Os01g0222900,gene:Os01g0222900,1,6715521,6716305,7,0.00127041914189855,5.4214355031702e-4,70513,35.444792753426185,LLT,Os01g0222900
LLT_CODE,11,953,gene:Os01g0229800,gene:Os01g0229800,1,7186356,7186820,1,0.00125169705521936,5.9281680750563e-4,496714,26.950572040929544,LLT,Os01g0229800
LLT_CODE,12,687,gene:Os01g0192000,DOS,1,4949133,4951123,2,0.00124205598452438,0.0011623553944693,4873027,242.0915804676679,LLT,DOS
PLT_CODE_POST,1,471,gene:Os01g0161000,gene:Os01g0161000,1,3201220,3204252,1,0.00323064285718525,0.0023518281422171,17121,410.49604139382393,PLT,Os01g0161000
PLT_CODE_POST,2,953,gene:Os01g0229800,gene:Os01g0229800,1,7186356,7186820,1,0.00187338852750447,0.0013727386182419,219747,1137.0941034056943,PLT,Os01g0229800
PLT_CODE_POST,3,710,gene:Os01g0195700,OsbHLH027,1,5148879,5149201,2,0.00182312988908961,0.00142633542566765,3811702,664.196757996705,PLT,OsbHLH027
PLT_CODE_POST,4,2018,gene:Os01g0563700,gene:Os01g0563700,1,21444283,21449074,1,0.00173255697397204,0.00122356473078603,5185012,1063.1962816589105,PLT,Os01g0563700
PLT_CODE_POST,5,2019,gene:Os01g0563500,gene:Os01g0563500,1,21447489,21450077,1,0.00173216868036737,0.00122306867530283,4184313,1059.1586283461038,PLT,Os01g0563500
PLT_CODE_POST,6,2020,gene:Os01g0564950,gene:Os01g0564950,1,21603411,21604622,1,0.00167562116015081,0.00121761655846426,3195715,1124.6943288437678,PLT,Os01g0564950
PLT_CODE_POST,7,1924,gene:Os01g0543600,gene:Os01g0543600,1,20124194,20126848,3,0.00160581134453726,0.00100845105862041,896116,547.9200063269577,PLT,Os01g0543600
PLT_CODE_POST,8,1925,gene:Os01g0543800,gene:Os01g0543800,1,20124383,20126778,3,0.00160061963833868,0.00100496391692163,1097317,553.978639780753,PLT,Os01g0543800
PLT_CODE_POST,9,1517,gene:Os01g0336300,gene:Os01g0336300,1,13170797,13171929,3,0.00156307085611236,0.00101932868731386,9129721,740.1873636676955,PLT,Os01g0336300
PLT_CODE_POST,10,1613,gene:Os01g0358800,gene:Os01g0358800,1,14544114,14544749,3,0.00153711884437749,0.00115697684447901,5616515,935.9435524289556,PLT,Os01g0358800
PLT_CODE_POST,11,468,gene:Os01g0160200,gene:Os01g0160200,1,3143601,3146812,1,0.00153593650126519,0.00117347286176671,6203824,1168.0142693192297,PLT,Os01g0160200
PLT_CODE_POST,12,1614,gene:Os01g0358900,gene:Os01g0358900,1,14545123,14545507,3,0.00153256540458338,0.00115072765714023,5716536,936.5206885061324,PLT,Os01g0358900
PSH,1,471,gene:Os01g0161000,gene:Os01g0161000,1,3201220,3204252,1,0.00612984768425424,0.00330216468350181,114,1.7320508075688772,PSH,Os01g0161000
PSH,2,953,gene:Os01g0229800,gene:Os01g0229800,1,7186356,7186820,1,0.00387285059938828,0.00250684033608019,2245,24.826061575153908,PSH,Os01g0229800
PSH,3,2018,gene:Os01g0563700,gene:Os01g0563700,1,21444283,21449074,1,0.00349844681719938,0.00201066545742619,5446,23.96525262402492,PSH,Os01g0563700
PSH,4,2019,gene:Os01g0563500,gene:Os01g0563500,1,21447489,21450077,1,0.00348811604393025,0.00198593366051095,6347,24.583192089989726,PSH,Os01g0563500
PSH,5,2020,gene:Os01g0564950,gene:Os01g0564950,1,21603411,21604622,1,0.00332525403549273,0.00212393147917434,3867,35.59494346111537,PSH,Os01g0564950
PSH,6,468,gene:Os01g0160200,gene:Os01g0160200,1,3143601,3146812,1,0.00328698253724724,0.00222002269767963,47116,63.81483631047981,PSH,Os01g0160200
PSH,7,1517,gene:Os01g0336300,gene:Os01g0336300,1,13170797,13171929,3,0.00304174663809438,0.00183038776052353,71666,31.78574103797697,PSH,Os01g0336300
PSH,8,1666,gene:Os01g0373200,gene:Os01g0373200,1,15382985,15385243,1,0.00301491185867538,0.00183053148300029,81770,33.50124375800596,PSH,Os01g0373200
PSH,9,1519,gene:Os01g0337180,gene:Os01g0337180,1,13198639,13199062,7,0.00300688572072734,0.00183854823397277,105144,78.84795495128583,PSH,Os01g0337180
PSH,10,1518,gene:Os01g0337160,gene:Os01g0337160,1,13198486,13199578,7,0.00299070364174743,0.00183134157108285,116147,80.00208330620731,PSH,Os01g0337160
PSH,11,710,gene:Os01g0195700,OsbHLH027,1,5148879,5149201,2,0.0029691980065157,0.00118457360275998,41443,22.854612955229264,PSH,OsbHLH027
PSH,12,1924,gene:Os01g0543600,gene:Os01g0543600,1,20124194,20126848,3,0.00295855454169213,0.00144474569394695,121340,15.88500340992514,PSH,Os01g0543600
PTH,1,471,gene:Os01g0161000,gene:Os01g0161000,1,3201220,3204252,1,0.00143561667452255,0.00118921598051381,11355,204.38199529312752,PTH,Os01g0161000
PTH,2,480,gene:Os01g0163450,gene:Os01g0163450,1,3291241,3293494,4,0.00126897825975902,0.00114076864316466,621194,687.0497313392483,PTH,Os01g0163450
PTH,3,894,gene:Os01g0222900,gene:Os01g0222900,1,6715521,6716305,7,0.00117126248854522,0.00104491022066102,2331460,835.4856870906488,PTH,Os01g0222900
PTH,4,953,gene:Os01g0229800,gene:Os01g0229800,1,7186356,7186820,1,0.00114577358666186,8.5954930726379e-4,241281,737.8543216651916,PTH,Os01g0229800
PTH,5,1050,gene:Os01g0243600,gene:Os01g0243600,1,7926858,7927564,2,0.0011323353392072,8.2166693468564e-4,115291,163.41766530376492,PTH,Os01g0243600
PTH,6,1691,gene:Os01g0382400,OsPR1#012,1,15958748,15959497,2,0.00109164802900825,5.8340789796429e-4,31134,16.09347693943108,PTH,OsPR1#012
PTH,7,893,gene:Os01g0222800,gene:Os01g0222800,1,6713909,6714986,7,0.00106951229584713,8.4499296098068e-4,316983,556.9946139775501,PTH,Os01g0222800
PTH,8,1695,gene:Os01g0382900,gene:Os01g0382900,1,15992759,15996844,2,0.0010586204395319,5.74488808569e-4,51351,24.576411454889016,PTH,Os01g0382900
PTH,9,1158,gene:Os01g0262500,gene:Os01g0262500,1,8883493,8885388,2,0.00104427737339089,4.293932224717e-4,42512,10.598742063723098,PTH,Os01g0262500
PTH,10,224,gene:Os01g0128300,MHZ4,1,1569644,1570940,5,9.9313367779056e-4,8.0698738188314e-4,7271546,870.3851637828699,PTH,MHZ4
PTH,11,2019,gene:Os01g0563500,gene:Os01g0563500,1,21447489,21450077,1,9.8803621949628e-4,7.0017819802523e-4,9101545,886.5214793412133,PTH,Os01g0563500
PTH,12,2018,gene:Os01g0563700,gene:Os01g0563700,1,21444283,21449074,1,9.8412577062845e-4,6.9373223255003e-4,8121557,893.1631056718215,PTH,Os01g0563700
SDHT_CODE,1,471,gene:Os01g0161000,gene:Os01g0161000,1,3201220,3204252,1,0.00322988846649726,8.2963135807458e-4,111,0,SDHT,Os01g0161000
SDHT_CODE,2,953,gene:Os01g0229800,gene:Os01g0229800,1,7186356,7186820,1,0.00180347356945276,6.3478613692677e-4,21017,7.505553499465135,SDHT,Os01g0229800
SDHT_CODE,3,710,gene:Os01g0195700,OsbHLH027,1,5148879,5149201,2,0.00180006644222885,2.6051423331369e-4,2623,13.576941236277534,SDHT,OsbHLH027
SDHT_CODE,4,1925,gene:Os01g0543800,gene:Os01g0543800,1,20124383,20126778,3,0.00167243151615063,3.9151735181794e-4,6527,12.423096769056148,SDHT,Os01g0543800
SDHT_CODE,5,1924,gene:Os01g0543600,gene:Os01g0543600,1,20124194,20126848,3,0.00166716574070354,3.8987593283822e-4,5626,11.846237095944574,SDHT,Os01g0543600
SDHT_CODE,6,709,gene:Os01g0195500,gene:Os01g0195500,1,5138518,5140925,4,0.00162328162696212,3.1460233074989e-4,121313,0.5773502691896257,SDHT,Os01g0195500
SDHT_CODE,7,2019,gene:Os01g0563500,gene:Os01g0563500,1,21447489,21450077,1,0.00159361752836654,4.5613949446295e-4,32222,10.969655114602888,SDHT,Os01g0563500
SDHT_CODE,8,2018,gene:Os01g0563700,gene:Os01g0563700,1,21444283,21449074,1,0.00158487450486669,4.6112901471262e-4,42721,11.930353445448857,SDHT,Os01g0563700
SDHT_CODE,9,1518,gene:Os01g0337160,gene:Os01g0337160,1,13198486,13199578,7,0.00156126547760019,5.0477510639563e-4,11375,39.46306289852998,SDHT,Os01g0337160
SDHT_CODE,10,1519,gene:Os01g0337180,gene:Os01g0337180,1,13198639,13199062,7,0.00155990221537649,5.012019904305e-4,9473,38.47510017314228,SDHT,Os01g0337180
SDHT_CODE,11,480,gene:Os01g0163450,gene:Os01g0163450,1,3291241,3293494,4,0.00155414823287477,1.9870734364933e-4,16719,6.244997998398398,SDHT,Os01g0163450
SDHT_CODE,12,1143,gene:Os01g0259900,SAD1L,1,8718704,8720961,2,0.0015449416047583,4.3735428774373e-4,104811,21.656407827707714,SDHT,SAD1L
SPKF,1,471,gene:Os01g0161000,gene:Os01g0161000,1,3201220,3204252,1,0.00667430429408947,0.00279430945661503,111,0,SPKF,Os01g0161000
SPKF,2,953,gene:Os01g0229800,gene:Os01g0229800,1,7186356,7186820,1,0.00459414332484205,0.00226296187902017,242,1.1547005383792517,SPKF,Os01g0229800
SPKF,3,2018,gene:Os01g0563700,gene:Os01g0563700,1,21444283,21449074,1,0.00428830063901841,0.00214644155196798,4116,3.605551275463989,SPKF,Os01g0563700
SPKF,4,2019,gene:Os01g0563500,gene:Os01g0563500,1,21447489,21450077,1,0.00428494065999984,0.00213433790526278,388,2.8867513459481287,SPKF,Os01g0563500
SPKF,5,2020,gene:Os01g0564950,gene:Os01g0564950,1,21603411,21604622,1,0.00408348833055545,0.0020916596993706,8334,15.716233645501712,SPKF,Os01g0564950
SPKF,6,1519,gene:Os01g0337180,gene:Os01g0337180,1,13198639,13199062,7,0.00403024023398757,0.00185448433916723,5320,9.29157324317757,SPKF,Os01g0337180
SPKF,7,1518,gene:Os01g0337160,gene:Os01g0337160,1,13198486,13199578,7,0.00402233703061938,0.00185137483571272,6221,10.016652800877813,SPKF,Os01g0337160
SPKF,8,468,gene:Os01g0160200,gene:Os01g0160200,1,3143601,3146812,1,0.00386492279358208,0.00217351871390418,73010,12.503332889007368,SPKF,Os01g0160200
SPKF,9,1517,gene:Os01g0336300,gene:Os01g0336300,1,13170797,13171929,3,0.00383377044151226,0.00185773138938624,10297,11.930353445448857,SPKF,Os01g0336300
SPKF,10,1924,gene:Os01g0543600,gene:Os01g0543600,1,20124194,20126848,3,0.00336416694335639,0.0015208870569782,13922,6.658328118479393,SPKF,Os01g0543600
SPKF,11,1925,gene:Os01g0543800,gene:Os01g0543800,1,20124383,20126778,3,0.0033520741853863,0.00151615009852954,14524,9.50438495292217,SPKF,Os01g0543800
SPKF,12,1666,gene:Os01g0373200,gene:Os01g0373200,1,15382985,15385243,1,0.00330323815190543,0.00179131214460043,112823,8.736894948054104,SPKF,Os01g0373200
